1yr_return,cat_avg_ret_1m,cat_avg_ret_1y,cat_avg_ret_2y,cat_avg_ret_3m,cat_avg_ret_3y,cat_avg_ret_5y,cat_avg_ret_6m,category,category_url,crisil_rating,diff_fund_cat_1m,diff_fund_cat_1y,diff_fund_cat_2y,diff_fund_cat_3m,diff_fund_cat_3y,diff_fund_cat_5y,diff_fund_cat_6m,fund_family_aum,fund_family_name,fund_family_shortcode,fund_family_url,fund_ret_1m,fund_ret_1y,fund_ret_2y,fund_ret_3m,fund_ret_3y,fund_ret_5y,fund_ret_6m,latest_nav,scheme_aum,scheme_name,scheme_risk_text,scheme_url
9.7,0.95,-1.73,0.98,1.53,1.82,4.59,1.52,Credit Risk Fund,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/credit-risk-fund.html,Rank 3,0.14000000000000012,11.450000000000001,17.91,1.7100000000000002,23.96,47.2,5.4399999999999995,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,1.09,9.72,18.89,3.24,25.78,51.79,6.96,35.49,381.96,SBI Credit Risk Fund,Moderate,http://www.moneycontrol.com/mutual-funds/nav/sbi-credit-risk-fund-direct-plan/MSB559
7.5,0.56,9.1,9.21,1.77,0.0,0.0,4.7,Fixed Maturity Plans - Debt,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/fixed-maturity-plans-debt.html,Not Ranked,-0.21000000000000008,-1.5599999999999996,10.45,-0.6100000000000001,0.0,0.0,-1.6100000000000003,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,0.35,7.54,19.66,1.16,0.0,0.0,3.09,12.44,269.55,SBI Debt Fund Series C - 10 (1150 Days),Moderate,http://www.moneycontrol.com/mutual-funds/nav/sbi-debt-fund-series-c-10-1150-days-direct-plan/MSB1351
7.2,0.54,8.85,8.94,1.71,0.0,0.0,4.59,Fixed Maturity Plans - Debt,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/fixed-maturity-plans-debt.html,Not Ranked,-0.22000000000000003,-1.6899999999999995,9.87,-0.6399999999999999,0.0,0.0,-1.69,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,0.32,7.16,18.81,1.07,0.0,0.0,2.9,12.32,37.85,SBI Debt Fund Series C - 10 (1150 Days),Moderate,http://www.moneycontrol.com/mutual-funds/nav/sbi-debt-fund-series-c-10-1150-days-regular-plan/MSB1349
7.6,0.56,9.1,9.21,1.77,0.0,0.0,4.7,Fixed Maturity Plans - Debt,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/fixed-maturity-plans-debt.html,Not Ranked,-0.19000000000000006,-1.5299999999999994,8.329999999999998,-0.5900000000000001,0.0,0.0,-1.7000000000000002,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,0.37,7.57,17.54,1.18,0.0,0.0,3.0,12.14,365.99,SBI Debt Fund Series C - 12 (1122 Days),Moderate,http://www.moneycontrol.com/mutual-funds/nav/sbi-debt-fund-series-c-12-1122-days-direct-plan/MSB1367
7.2,0.54,8.85,8.94,1.71,0.0,0.0,4.59,Fixed Maturity Plans - Debt,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/fixed-maturity-plans-debt.html,Not Ranked,-0.2,-1.67,7.770000000000001,-0.6199999999999999,0.0,0.0,-1.7799999999999998,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,0.34,7.18,16.71,1.09,0.0,0.0,2.81,12.02,69.34,SBI Debt Fund Series C - 12 (1122 Days),Moderate,http://www.moneycontrol.com/mutual-funds/nav/sbi-debt-fund-series-c-12-1122-days-regular-plan/MSB1365
7.3,0.56,9.1,9.21,1.77,0.0,0.0,4.7,Fixed Maturity Plans - Debt,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/fixed-maturity-plans-debt.html,Not Ranked,-0.19000000000000006,-1.7799999999999994,8.05,-0.6200000000000001,0.0,0.0,-1.8800000000000003,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,0.37,7.32,17.26,1.15,0.0,0.0,2.82,12.10,152.77,SBI Debt Fund Series C - 14 (1122 Days),Moderate,http://www.moneycontrol.com/mutual-funds/nav/sbi-debt-fund-series-c-14-1122-days-direct-plan/MSB1359
6.9,0.54,8.85,8.94,1.71,0.0,0.0,4.59,Fixed Maturity Plans - Debt,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/fixed-maturity-plans-debt.html,Not Ranked,-0.2,-1.9099999999999993,7.49,-0.6499999999999999,0.0,0.0,-1.96,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,0.34,6.94,16.43,1.06,0.0,0.0,2.63,11.98,41.60,SBI Debt Fund Series C - 14 (1122 Days),Moderate,http://www.moneycontrol.com/mutual-funds/nav/sbi-debt-fund-series-c-14-1122-days-regular-plan/MSB1357
7.6,0.56,9.1,9.21,1.77,0.0,0.0,4.7,Fixed Maturity Plans - Debt,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/fixed-maturity-plans-debt.html,Not Ranked,-0.23000000000000004,-1.4799999999999995,10.689999999999998,-0.5800000000000001,0.0,0.0,-1.46,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,0.33,7.62,19.9,1.19,0.0,0.0,3.24,12.41,551.65,SBI Debt Fund Series C - 16 (1100 Days),Moderate,http://www.moneycontrol.com/mutual-funds/nav/sbi-debt-fund-series-c-16-1100-days-direct-plan/MSB1387
7.3,0.54,8.85,8.94,1.71,0.0,0.0,4.59,Fixed Maturity Plans - Debt,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/fixed-maturity-plans-debt.html,Not Ranked,-0.23000000000000004,-1.5499999999999998,10.24,-0.5999999999999999,0.0,0.0,-1.5099999999999998,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,0.31,7.3,19.18,1.11,0.0,0.0,3.08,12.32,63.70,SBI Debt Fund Series C - 16 (1100 Days),Moderate,http://www.moneycontrol.com/mutual-funds/nav/sbi-debt-fund-series-c-16-1100-days-regular-plan/MSB1385
7.7,0.56,9.1,9.21,1.77,0.0,0.0,4.7,Fixed Maturity Plans - Debt,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/fixed-maturity-plans-debt.html,Not Ranked,-0.23000000000000004,-1.3699999999999992,10.809999999999999,-0.5900000000000001,0.0,0.0,-1.3800000000000003,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,0.33,7.73,20.02,1.18,0.0,0.0,3.32,12.39,504.62,SBI Debt Fund Series C - 18 (1100 Days),Moderate,http://www.moneycontrol.com/mutual-funds/nav/sbi-debt-fund-series-c-18-1100-days-direct-plan/MSB1395
